BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-2.37059,-1.22512,-0.987913,-0.413722,-2.37444,-1.36952,-4.3805,0.0288617,0.0784513,0.0582511,6.74993,0.200246,0.138414,123000,115
-2.31144,-1.33209,-1.1383,-0.40002,-2.11277,-1.31118,-4.21695,0.0300657,0.0652227,0.0747509,6.7666,0.20145,0.139594,124000,115
-2.38943,-1.36198,-1.11514,-0.33108,-2.01318,-1.29395,-4.15581,0.0347899,0.0600569,0.0447405,6.7092,0.198976,0.139928,125000,116
-2.34958,-1.26218,-1.06764,-0.406879,-2.26411,-1.35231,-3.64989,0.0289554,0.0814287,0.0634982,6.61417,0.203011,0.137323,126000,117
-2.496,-1.4651,-1.28033,-0.293974,-1.8387,-1.29311,-3.97984,0.0311568,0.0815264,0.0708354,6.70501,0.199863,0.13928,127000,118
-2.39233,-1.29226,-1.11771,-0.388051,-2.17112,-1.37474,-4.37194,0.0371735,0.0722824,0.0780294,6.69422,0.197962,0.138231,128000,120
-2.2901,-1.21397,-0.989588,-0.332376,-2.40825,-1.35965,-4.56668,0.0310551,0.0759314,0.063716,6.63441,0.200017,0.138465,129000,121
-2.2929,-1.28682,-1.07082,-0.377245,-2.17445,-1.31715,-4.65798,0.0280488,0.0809334,0.0586095,6.60026,0.20124,0.139545,130000,123
-2.27942,-1.28175,-1.02294,-0.396045,-2.24884,-1.34379,-4.73341,0.0373047,0.0610673,0.0479994,6.6116,0.197602,0.138134,131000,125
-2.30511,-1.15604,-0.955063,-0.516095,-2.37585,-1.37144,-4.23932,0.0277858,0.0875842,0.060232,6.7179,0.200548,0.139976,132000,127
-2.3322,-1.2754,-1.03495,-0.404521,-2.27012,-1.33964,-4.40724,0.0343857,0.0748825,0.0708132,6.74602,0.197796,0.142267,133000,129
-2.35207,-1.36051,-1.14988,-0.383915,-2.05521,-1.33427,-4.52364,0.0304488,0.0738023,0.069763,6.72843,0.200521,0.137835,134000,130
-2.44274,-1.47968,-1.25936,-0.300834,-1.80179,-1.25825,-4.45201,0.0354682,0.066478,0.0783591,6.69194,0.19917,0.138793,135000,132
-2.38396,-1.38727,-1.17586,-0.259532,-2.01281,-1.31045,-4.83784,0.0271931,0.0770868,0.0451088,6.5977,0.196544,0.139486,136000,134
-2.42197,-1.43148,-1.19116,-0.403354,-1.86674,-1.31978,-4.82488,0.0246523,0.0861236,0.067508,6.66116,0.198941,0.139765,137000,136
-2.70107,-1.64776,-1.42415,-0.150474,-1.52257,-1.21012,-4.97141,0.0293192,0.0824988,0.0643023,6.664,0.198802,0.138584,138000,138
-2.45371,-1.4516,-1.24376,-0.262132,-1.84887,-1.30616,-4.9662,0.0331955,0.0724938,0.0628996,6.75338,0.202101,0.140167,139000,140
-2.41095,-1.26441,-1.09336,-0.370424,-2.23276,-1.32842,-5.0237,0.0367371,0.0686169,0.0643193,6.7542,0.200272,0.138921,140000,142
-2.399,-1.42594,-1.20305,-0.224585,-1.90523,-1.21295,-4.56151,0.0236675,0.0823383,0.0428844,6.72746,0.198743,0.140036,141000,144
-2.44359,-1.40944,-1.21626,-0.245687,-2.00297,-1.27369,-4.85494,0.0294182,0.0742844,0.0497291,6.72587,0.200664,0.136278,142000,146
-2.45469,-1.52026,-1.28427,-0.206981,-1.73816,-1.21932,-4.90368,0.0349052,0.0685466,0.0413653,6.66356,0.198027,0.138303,143000,148
-2.40872,-1.46407,-1.24465,-0.298716,-1.80747,-1.2794,-4.49832,0.0315956,0.0722377,0.0539448,6.66252,0.197139,0.138974,144000,150
-2.50876,-1.44287,-1.27741,-0.33131,-1.88742,-1.30911,-4.41922,0.032238,0.070614,0.0837526,6.60363,0.196169,0.138098,145000,152
-2.4336,-1.32394,-1.14083,-0.429851,-2.0579,-1.32759,-4.54283,0.0358964,0.0636608,0.0800414,6.57493,0.202669,0.138006,146000,154
-2.4633,-1.50909,-1.3073,-0.217505,-1.75855,-1.23246,-3.90265,0.024496,0.0830526,0.068025,6.71557,0.197433,0.14072,147000,156
-2.58144,-1.54481,-1.30828,-0.218623,-1.72671,-1.27284,-3.94173,0.0267267,0.0854338,0.0664847,6.59072,0.1966,0.138724,148000,158
-2.40727,-1.28051,-1.0368,-0.331201,-2.29838,-1.32424,-4.08056,0.029194,0.082106,0.0582762,6.53014,0.19779,0.137245,149000,160
-2.34532,-1.28551,-1.04099,-0.351752,-2.23331,-1.24578,-4.40222,0.039897,0.0536841,0.0628839,6.5749,0.199429,0.141918,150000,162
-2.41472,-1.36208,-1.11871,-0.362381,-2.05507,-1.34262,-4.73591,0.0364393,0.0716169,0.0517462,6.76626,0.199158,0.138052,151000,163
-2.59517,-1.42575,-1.22374,-0.280504,-1.93288,-1.26284,-5.48469,0.0379563,0.0639468,0.0645698,6.71239,0.198007,0.137775,152000,165
-2.46047,-1.65237,-1.42726,-0.0627953,-1.54361,-1.14079,-5.44986,0.0249363,0.072822,0.0365652,6.64496,0.198986,0.139293,153000,167
-2.42511,-1.52934,-1.26029,-0.153724,-1.74876,-1.23897,-5.31975,0.0217202,0.0787636,0.0381825,6.78053,0.200257,0.141141,154000,169
