BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-2.1745,-1.464,-1.31616,-0.524556,-0.929779,-0.808248,0.0715395,6.59105,0.204972,0.155468,137000,171
-2.26028,-1.71417,-1.58053,-0.304687,-0.4593,-0.685157,0.0642463,6.55959,0.204403,0.155742,138000,174
-2.29819,-1.67994,-1.53519,-0.243014,-0.562754,-0.61797,0.0716911,6.70365,0.203472,0.154882,139000,176
-2.30197,-1.67071,-1.54015,-0.299023,-0.577029,-0.682965,0.070187,6.65208,0.202661,0.15357,140000,179
-2.28585,-1.71645,-1.54359,-0.228102,-0.562585,-0.592161,0.0614403,6.73913,0.202739,0.154595,141000,183
-2.29372,-1.64872,-1.50354,-0.300168,-0.645158,-0.678057,0.0702509,6.61291,0.201982,0.151945,142000,186
-2.23767,-1.50003,-1.38722,-0.346709,-0.921344,-0.670791,0.0748609,6.6821,0.202129,0.155726,143000,188
-2.10342,-1.40811,-1.26019,-0.463205,-1.13268,-0.810993,0.0706904,6.61044,0.198941,0.1521,144000,192
-1.99705,-1.30688,-1.2043,-0.570631,-1.27266,-0.759968,0.0763169,6.60146,0.199942,0.153747,145000,195
-1.99901,-1.23028,-1.06771,-0.563141,-1.51074,-0.802154,0.0754946,6.73433,0.204141,0.153091,146000,197
-1.89588,-1.11409,-0.983388,-0.731243,-1.56808,-0.873148,0.0759363,6.63763,0.201069,0.155554,147000,199
-1.87242,-1.14258,-1.00019,-0.621684,-1.6263,-0.841168,0.0746481,6.66208,0.19869,0.153663,148000,201
-1.94109,-1.22985,-1.10832,-0.631842,-1.4386,-0.816647,0.0739999,6.70569,0.203389,0.152738,149000,204
-1.97519,-1.23552,-1.06418,-0.560431,-1.54525,-0.847023,0.0773917,6.58873,0.200146,0.153193,150000,206
-1.96894,-1.14885,-1.07027,-0.640821,-1.56197,-0.825203,0.0813842,6.73959,0.202458,0.154683,151000,209
-2.13629,-1.25931,-1.13753,-0.559665,-1.4163,-0.776896,0.0773011,6.71138,0.205042,0.153062,152000,212
-1.98145,-1.26911,-1.14866,-0.589702,-1.32445,-0.813718,0.0747158,6.63133,0.202545,0.153986,153000,215
-1.86133,-1.15419,-1.01449,-0.633983,-1.66144,-0.856598,0.0733731,6.62391,0.201724,0.15541,154000,218
-1.97601,-1.10795,-0.993587,-0.659317,-1.68915,-0.898106,0.0821103,6.65106,0.201252,0.153278,155000,220
-1.95676,-1.07705,-0.958001,-0.666931,-1.75931,-0.882268,0.0711386,6.73736,0.200453,0.153003,156000,222
-1.9553,-1.00913,-0.862871,-0.744547,-1.93132,-0.904861,0.0905675,6.80357,0.203694,0.152027,157000,225
-1.98278,-1.08639,-0.931921,-0.716112,-1.82488,-0.898192,0.0879463,6.41995,0.20026,0.149964,158000,228
-1.93813,-1.11867,-0.983493,-0.588865,-1.74064,-0.895377,0.0782677,6.62086,0.202161,0.152831,159000,232
-1.97037,-1.133,-0.989115,-0.527661,-1.78952,-0.784245,0.0779881,6.70486,0.199855,0.155659,160000,235
-1.94812,-1.11276,-0.968999,-0.638176,-1.7073,-0.86484,0.0777016,6.7246,0.202548,0.155955,161000,238
-1.80648,-1.08176,-0.939298,-0.593207,-1.80717,-0.864647,0.070923,6.69512,0.203006,0.152078,162000,240
-1.91592,-1.31142,-1.15207,-0.500542,-1.36623,-0.80544,0.0707995,6.54379,0.201054,0.153487,163000,242
-2.09555,-1.24126,-1.11068,-0.611661,-1.40234,-0.863256,0.0823621,6.59616,0.201983,0.152423,164000,245
-1.85296,-1.12686,-0.993535,-0.638471,-1.72944,-0.857548,0.0740634,6.61334,0.200736,0.154404,165000,247
-2.05273,-1.22547,-1.06499,-0.524266,-1.5875,-0.80679,0.0849525,6.62136,0.204951,0.154938,166000,249
-2.04247,-1.31761,-1.17946,-0.459424,-1.40587,-0.804728,0.0746389,6.58787,0.201799,0.15376,167000,252
-2.01176,-1.23891,-1.09727,-0.598241,-1.43347,-0.811439,0.0737362,6.7052,0.201674,0.154298,168000,256
-1.93458,-1.20861,-1.06986,-0.621723,-1.50999,-0.860449,0.0749804,6.63569,0.201229,0.153628,169000,259
-2.16572,-1.26419,-1.11314,-0.61649,-1.40608,-0.839011,0.0916524,6.6151,0.203653,0.153614,170000,262
-2.09114,-1.31145,-1.21725,-0.535014,-1.25347,-0.806843,0.0759503,6.68118,0.197533,0.156165,171000,265
-2.18132,-1.41389,-1.28121,-0.483688,-1.14654,-0.792249,0.0820182,6.65953,0.201245,0.152494,172000,269
-2.27104,-1.50441,-1.35547,-0.468763,-0.858601,-0.801514,0.0777577,6.62383,0.201143,0.151769,173000,272
-2.03491,-1.29563,-1.16979,-0.537331,-1.33514,-0.775247,0.0771415,6.65552,0.200575,0.153867,174000,275
-2.05553,-1.21515,-1.09335,-0.596325,-1.50791,-0.861799,0.0803159,6.59585,0.1992,0.151469,175000,279
-2.15109,-1.41861,-1.30256,-0.523607,-1.03863,-0.789744,0.0767983,6.73813,0.202951,0.152353,176000,282
-1.9893,-1.39094,-1.21803,-0.400349,-1.32363,-0.743091,0.0682405,6.67419,0.200465,0.154047,177000,285
-1.92519,-1.28276,-1.14922,-0.55292,-1.36003,-0.809785,0.0706848,6.62716,0.19994,0.152573,178000,287
-1.93417,-1.14532,-1.04302,-0.655963,-1.5951,-0.895853,0.0723815,6.70083,0.197264,0.151226,179000,290
-2.08749,-1.41807,-1.22826,-0.391204,-1.26409,-0.768637,0.0717624,6.65475,0.201201,0.151028,180000,293
-2.05763,-1.23428,-1.07802,-0.645121,-1.56816,-0.836555,0.0823077,6.69009,0.200166,0.149598,181000,297
-2.09273,-1.17757,-1.04811,-0.604644,-1.58092,-0.856828,0.085232,6.73945,0.196774,0.151563,182000,300
-2.08999,-1.4537,-1.31536,-0.450701,-1.06455,-0.768384,0.0733749,6.69933,0.198579,0.149828,183000,303
-2.10286,-1.38016,-1.25137,-0.460368,-1.16565,-0.827395,0.0723358,6.65897,0.197802,0.15313,184000,305
-2.13978,-1.46013,-1.32214,-0.409239,-1.08063,-0.738126,0.069898,6.59772,0.200985,0.151038,185000,308
-2.03191,-1.20208,-1.06572,-0.571094,-1.57927,-0.860001,0.0803839,6.69325,0.197303,0.152945,186000,311
