BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, BetaP_SE_7, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-2.29116,-1.40057,-1.24232,-0.511207,-0.56316,-0.781996,-0.659302,-1.36924,0.0778418,6.64302,0.201964,0.152582,151000,222
-2.24894,-1.32562,-1.16208,-0.474934,-0.707941,-0.702756,-0.970525,-1.22127,0.0790289,6.7635,0.200124,0.151647,152000,225
-2.2004,-1.5128,-1.33206,-0.310752,-0.513022,-0.517753,-1.0265,-0.862481,0.077446,6.65433,0.204054,0.152179,153000,228
-2.19919,-1.46911,-1.31557,-0.32173,-0.520959,-0.629124,-0.843861,-1.11175,0.0756178,6.68376,0.205011,0.154484,154000,231
-2.38464,-1.72124,-1.57115,-0.0921716,-0.256159,-0.392133,-0.367262,-0.954506,0.0705407,6.76756,0.203376,0.153973,155000,234
-2.46876,-1.72408,-1.53411,-0.127661,-0.316049,-0.470591,-0.201595,-1.09113,0.0792721,6.62851,0.204274,0.153198,156000,237
-2.22708,-1.68834,-1.53424,-0.105438,-0.284667,-0.438605,-0.427783,-0.929139,0.0619166,6.56922,0.205747,0.153614,157000,240
-2.19378,-1.52314,-1.38523,-0.293057,-0.523732,-0.522215,-0.672976,-1.10528,0.0683215,6.74747,0.200524,0.152381,158000,243
-2.22369,-1.43431,-1.2964,-0.473834,-0.484081,-0.747503,-0.746965,-1.17893,0.072629,6.65967,0.199133,0.152187,159000,246
-2.3808,-1.55678,-1.37848,-0.246059,-0.423109,-0.728385,-0.350393,-1.17808,0.0789341,6.6639,0.201421,0.152051,160000,249
-2.44307,-1.64285,-1.52638,-0.209811,-0.303174,-0.627721,-0.224279,-1.06714,0.0780963,6.647,0.200682,0.15056,161000,251
-2.31976,-1.54768,-1.36822,-0.306134,-0.417004,-0.631965,-0.721621,-0.945205,0.077035,6.56682,0.203069,0.152617,162000,253
-1.97757,-1.27027,-1.13048,-0.495367,-0.72376,-0.791622,-1.22331,-1.066,0.0729639,6.74206,0.201792,0.151682,163000,255
-2.14216,-1.41557,-1.26849,-0.371589,-0.545465,-0.673003,-1.02074,-1.02169,0.0736901,6.60705,0.204038,0.151969,164000,257
-2.19315,-1.35367,-1.23062,-0.417747,-0.707445,-0.706118,-0.897019,-1.24422,0.0807446,6.58887,0.20251,0.15008,165000,261
-1.98866,-1.30073,-1.13294,-0.527495,-0.749104,-0.776749,-1.23683,-1.06208,0.0823639,6.63264,0.201659,0.148105,166000,264
-2.23132,-1.40251,-1.22432,-0.444593,-0.590299,-0.725934,-0.945677,-1.21243,0.0752311,6.56042,0.201984,0.153068,167000,267
-2.1928,-1.55195,-1.378,-0.149792,-0.460476,-0.45211,-1.02873,-0.892284,0.0647897,6.58175,0.202563,0.151497,168000,269
-2.16118,-1.49013,-1.32546,-0.276318,-0.523795,-0.649824,-0.875246,-1.01268,0.0747292,6.78847,0.198986,0.150457,169000,272
-1.91042,-1.18883,-1.02125,-0.524693,-0.861124,-0.723509,-1.60198,-1.10558,0.0729415,6.69574,0.20338,0.15028,170000,275
-1.89314,-1.16013,-1.009,-0.506555,-0.915323,-0.733671,-1.67991,-0.961259,0.0784886,6.58183,0.20191,0.150898,171000,278
-1.95581,-1.12598,-0.982454,-0.558097,-0.868726,-0.841303,-1.62993,-1.04734,0.0732137,6.74604,0.199138,0.150719,172000,280
-2.13312,-1.22278,-1.0665,-0.576689,-0.80808,-0.828093,-1.23662,-1.19095,0.0836055,6.56572,0.20201,0.150149,173000,283
-2.23566,-1.4744,-1.31969,-0.229898,-0.472829,-0.591542,-1.00065,-0.929434,0.080817,6.71425,0.203488,0.1519,174000,286
-2.15167,-1.46067,-1.32171,-0.255125,-0.555755,-0.587141,-0.971518,-0.99433,0.0748726,6.69451,0.203292,0.152035,175000,289
-2.2654,-1.46707,-1.32752,-0.358512,-0.460394,-0.67032,-0.968994,-0.940466,0.0815797,6.57834,0.202381,0.153317,176000,292
-2.12132,-1.47182,-1.35136,-0.166173,-0.551298,-0.573906,-0.996806,-0.959853,0.0736649,6.63409,0.198378,0.149576,177000,295
-2.12125,-1.54037,-1.36346,-0.139574,-0.495328,-0.433101,-1.11127,-0.835506,0.0630391,6.62301,0.199544,0.152553,178000,298
-2.05063,-1.44648,-1.27865,-0.348846,-0.58088,-0.538602,-1.15465,-0.957113,0.0724548,6.73367,0.201423,0.149345,179000,300
-2.3313,-1.51313,-1.37282,-0.142232,-0.579154,-0.551104,-0.817538,-0.970487,0.0806539,6.66181,0.204414,0.151287,180000,303
-2.08116,-1.52597,-1.35766,-0.23017,-0.508838,-0.534778,-0.921878,-0.926005,0.0636741,6.72187,0.202091,0.149635,181000,307
