BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-2.49838,-2.09128,-1.97348,0.0595615,6.59958,0.203347,0.153278,210000,373
-2.49484,-2.11572,-1.96786,0.0589066,6.58084,0.198471,0.150842,211000,377
-2.50776,-2.09994,-1.99735,0.0538683,6.70305,0.200313,0.149685,212000,380
-2.44156,-2.12078,-2.00418,0.0598488,6.62963,0.198437,0.151141,213000,383
-2.44628,-2.13046,-1.99427,0.0549139,6.7448,0.198264,0.152479,214000,385
-2.48475,-2.10387,-2.00403,0.0577587,6.66422,0.201882,0.150392,215000,387
-2.47647,-2.11429,-1.99583,0.0498485,6.63056,0.20423,0.147982,216000,389
-2.47687,-2.09175,-2.00847,0.0620967,6.59269,0.202369,0.150442,217000,391
-2.56336,-2.12975,-1.99266,0.0587666,6.65909,0.201238,0.148605,218000,393
-2.4963,-2.10724,-1.97888,0.0553631,6.56955,0.200498,0.152833,219000,395
-2.4691,-2.11681,-2.01621,0.0550234,6.53332,0.195401,0.147651,220000,398
-2.53009,-2.11442,-2.00412,0.0600018,6.63529,0.197582,0.149003,221000,401
-2.56825,-2.11962,-2.01093,0.0637595,6.6934,0.199149,0.150471,222000,403
-2.51405,-2.09607,-2.01233,0.0593188,6.73491,0.200017,0.14829,223000,405
-2.57011,-2.10529,-1.99447,0.0590102,6.64317,0.196827,0.150399,224000,407
-2.45949,-2.08921,-1.98208,0.0513242,6.72167,0.202582,0.148474,225000,410
-2.46308,-2.10326,-1.98473,0.0533258,6.74214,0.199643,0.150009,226000,413
-2.58494,-2.12223,-1.97821,0.0633367,6.69353,0.19939,0.148027,227000,416
-2.48857,-2.09875,-1.98722,0.0594628,6.60706,0.199828,0.149702,228000,419
-2.5915,-2.11748,-2.02395,0.0672168,6.75978,0.20091,0.148354,229000,421
-2.48731,-2.12284,-1.99354,0.0525928,6.58417,0.199181,0.149794,230000,424
-2.52911,-2.11988,-1.98058,0.0589838,6.67508,0.200164,0.150089,231000,426
-2.53368,-2.08334,-2.00758,0.0526744,6.74474,0.20096,0.147655,232000,429
-2.60917,-2.12074,-2.00793,0.0633833,6.59828,0.199706,0.149084,233000,433
-2.46917,-2.11068,-1.99325,0.0541286,6.7724,0.201393,0.150001,234000,436
